,APRexplained,ComplexCount,FinancetoComplex,Flesch,FleschKincaid,FogIndex,SentCount,SuperComplexCount,SuperFinancetoComplex,Terms,WordCount,Category
1,0,56,0.178571429,78.97026163,4.915161499,10.0881137,36,18,0.055555556,63,387,0
2,0,114,0.254385965,65.42208081,9.025924167,13.39009616,42,30,0.2,104,827,0
3,0,53,0.056603774,67.21781836,8.431932773,11.77685844,26,18,0,56,476,0
4,0,173,0.086705202,54.56049469,13.07249573,17.46632518,42,55,0.036363636,149,1255,0
5,0,67,0.059701493,66.87559859,7.711177062,12.3767941,28,23,0,47,426,0
6,0,61,0.213114754,82.51072511,4.938896104,8.302164502,60,12,0,96,770,0
7,0,125,0.032,65.92403405,7.80308804,11.55709856,60,50,0.04,125,903,0
8,0,94,0.191489362,71.48363928,8.354300385,12.65370522,41,24,0.166666667,117,836,0
9,1,194,0.06185567,66.00842932,9.225987695,12.98786315,80,62,0.016129032,206,1666,0
10,0,231,0.082251082,61.96731896,8.879047434,12.59228608,94,75,0.026666667,184,1613,0
11,0,57,0.192982456,65.69448327,8.759935065,13.02967202,22,15,0.133333333,59,413,0
12,0,14,0.214285714,74.08453947,8.826184211,15.39473684,4,3,0,10,95,0
13,0,56,0.125,76.33896896,6.210748953,9.566165722,41,15,0.066666667,68,594,0
14,6,3449,0.075964048,42.00499854,16.84283127,21.33466143,592,1362,0.098384728,2575,22501,0
15,0,37,0.108108108,76.72651351,6.234252252,12.58666667,15,10,0.3,18,222,0
16,0,148,0.108108108,74.10180218,6.932336748,10.62355954,88,47,0.042553191,177,1420,0
17,1,101,0.089108911,68.33511897,7.211226552,11.7390114,47,29,0.034482759,73,659,0
18,0,105,0.066666667,76.47391892,5.762348555,10.77912395,58,32,0.09375,69,740,0
19,0,25,0.24,78.82615385,4.959148936,11.43066012,13,8,0.25,15,141,0
20,0,114,0.087719298,62.06629281,10.8914739,14.86644053,38,48,0.083333333,124,962,0
21,0,50,0.14,59.90746475,9.832771185,13.24188189,19,13,0.230769231,57,377,0
22,0,61,0.06557377,79.98872584,5.867741624,11.09342784,32,19,0,48,485,0
23,0,22,1E-12,79.09587313,5.521411262,8.189593728,23,8,0,20,305,0
24,0,94,0.095744681,69.63658954,7.146090831,11.09169302,49,19,0.052631579,92,710,0
25,0,49,0.183673469,74.03371634,7.704639386,11.20160961,29,15,0.066666667,71,557,0
26,0,156,0.115384615,65.2249433,8.958326693,12.69518848,65,60,0.066666667,107,1255,0
27,0,36,0.027777778,71.7747458,7.852388489,12.59318945,15,16,0,26,278,0
28,0,81,0.098765432,69.21810752,6.679925646,12.02558716,37,23,0.043478261,72,458,0
29,0,154,0.084415584,56.21123799,11.1079869,14.53991266,50,50,0.06,143,1145,0
30,0,71,0.070422535,75.8934298,7.263423207,11.23303112,40,30,0,84,739,0
31,0,61,0.114754098,62.87299516,9.241992058,11.76628407,31,21,0.095238095,62,593,0
32,0,626,0.091054313,62.21131203,9.92501533,13.96809602,217,199,0.035175879,507,4667,1
33,1,174,0.057471264,64.5284182,8.466409604,13.29756475,63,39,0,86,1067,1
