,APRexplained,ComplexCount,FinancetoComplex,Flesch,FleschKincaid,FogIndex,SentCount,SuperComplexCount,SuperFinancetoComplex,Terms,WordCount
0,0,626,0.09105431309904154,62.21131202609952,9.925015329714768,13.968096024740829,217,199,0.035175879396984924,507,4667
1,1,174,0.05747126436781609,64.52841820264503,8.466409604141564,13.29756474911114,63,39,0.0,86,1067
2,0,90,0.15555555555555556,66.70013305322131,8.883151260504203,13.98375350140056,30,43,0.18604651162790697,70,595
3,0,72,0.09722222222222222,63.92324932030277,7.861377029906681,12.224880593724743,31,25,0.16,41,439
4,0,95,0.09473684210526316,59.86919438669442,10.21175675675676,15.385308385308386,26,21,0.14285714285714285,55,555
5,0,78,0.10256410256410256,74.41925214408234,7.017434942416077,12.014486645430043,35,22,0.0,68,583
6,0,194,0.14948453608247422,72.02971695156697,6.950547863247866,10.793903133903136,108,54,0.018518518518518517,184,1625
7,0,126,0.031746031746031744,69.28413807245387,8.401531784005467,12.475023923444976,55,47,0.02127659574468085,117,1064
8,0,130,0.1,63.36962412295358,8.843765452723023,14.245238890745071,41,31,0.0967741935483871,79,730
9,1,182,0.10989010989010989,72.29999394673123,7.960969387755103,11.562054652369424,98,48,0.0,237,1888
10,0,141,0.06382978723404255,65.08148359642104,8.106085691423583,12.370146213719359,59,65,0.015384615384615385,73,932
11,0,90,0.022222222222222223,74.22336135957067,6.661964221824686,11.584973166368517,43,27,0.0,78,650
12,0,44,0.045454545454545456,68.92257731958766,7.088512518409427,11.590967108492883,21,15,0.0,23,291
13,0,136,0.11764705882352941,64.98611784780715,9.496745812760192,14.329760867460548,44,43,0.0,125,939
14,0,90,0.18888888888888888,70.61955718954249,6.412534313725491,11.453202614379085,45,22,0.09090909090909091,95,544
15,0,118,0.0423728813559322,73.17149712879412,6.93447270075654,11.949539695561024,53,40,0.05,89,828
16,1,143,0.08391608391608392,71.35304198971092,7.063643335024032,11.160355529792527,74,40,0.05,118,1119
17,0,31,0.2903225806451613,51.127500000000026,14.645595238095243,18.88095238095238,7,3,0.0,37,240
18,0,80,0.075,70.3163908788774,7.656244830132945,11.496735598227474,40,35,0.08571428571428572,76,677
19,0,41,0.14634146341463414,57.63679950866661,11.518528729357172,13.946280878940904,17,17,0.058823529411764705,46,431
20,1,162,0.09876543209876543,67.76356227221318,8.25895437979138,12.121251728038207,73,57,0.03508771929824561,154,1308
21,0,72,0.05555555555555555,69.26647331786545,7.290197615809266,12.626962156972558,29,22,0.0,44,431
22,0,90,0.06666666666666667,66.37903846153849,8.845128205128209,13.569230769230769,32,44,0.0,65,624
23,0,132,0.13636363636363635,73.25060530576663,8.857579488639399,13.966578296532214,49,23,0.043478260869565216,143,1147
24,0,202,0.06435643564356436,62.559468717799405,9.33038786344698,13.87737556561086,68,62,0.08064516129032258,178,1313
25,0,28,0.03571428571428571,78.52265966157206,5.862617358078605,10.615829694323146,16,12,0.0,24,229
26,0,57,0.05263157894736842,70.16690708174906,7.555986216730037,10.909600760456275,32,21,0.09523809523809523,29,526
27,0,58,0.20689655172413793,35.28703571428572,19.206214285714285,24.12857142857143,8,11,0.18181818181818182,28,350
28,0,105,0.0761904761904762,70.35073504581743,8.841916299198399,12.335793321639919,53,34,0.029411764705882353,156,1151
29,0,72,0.06944444444444445,72.62189425981875,7.828867501078985,11.916167457919725,35,17,0.11764705882352941,62,662
30,0,112,0.044642857142857144,69.81646565874733,8.122216846652268,12.246012958963284,50,40,0.025,110,926
